date,amount_weekly
2019-06-07,2383.8520833735865
2019-06-08,2383.2399340658944
2019-06-09,2382.623777285674
2019-06-10,2384.255036835125
2019-06-11,2388.1383338461137
2019-06-12,2392.023784893732
2019-06-13,2395.911387362597
2019-06-14,2395.2859906812782
2019-06-15,2396.8004247618637
2019-06-16,2391.881861736223
2019-06-17,2389.225354417542
2019-06-18,2388.823377289337
2019-06-19,2388.4173098680913
2019-06-20,2388.0071547691905
2019-06-21,2383.1007360292633
2019-06-22,2378.200251428531
2019-06-23,2373.305698351608
2019-06-24,2370.655653648311
2019-06-25,2370.24261010985
2019-06-26,2369.8254884834755
2019-06-27,2369.404291384575
2019-06-28,2364.5218642856735
2019-06-29,2359.6453591208387
2019-06-30,2354.774773274685
2019-07-01,2354.2656115054538
2019-07-02,2358.115045274685
2019-07-03,2361.9666226190066
2019-07-04,2366.414080615344
2019-07-05,2366.4051626043547
2019-07-06,2366.392208644648
2019-07-07,2366.37521831864
2019-07-08,2368.5908208790797
2019-07-09,2373.0452928204713
2019-07-10,2377.5040970549035
2019-07-11,2381.9672339999584
2019-07-12,2381.9447046299947
2019-07-13,2381.918137362595
2019-07-14,2381.8875317801776
2019-07-15,2386.238547714243
2019-07-16,2386.4378492307264
2019-07-17,2386.633127604353
2019-07-18,2386.8243824175393
2019-07-19,2382.520528373583
2019-07-20,2378.22040307688
2019-07-21,2373.924006945012
2019-07-22,2371.8710675603966
2019-07-23,2372.055769230726
2019-07-24,2372.2364458094803
2019-07-25,2372.4130968790773
2019-07-26,2368.1217789889674
2019-07-27,2363.8341917948283
2019-07-28,2359.5503357142416
2019-07-29,2357.496364483473
2019-07-30,2357.666459487136
2019-07-31,2357.8325274505055
2019-08-01,2362.2779368351207
2019-08-02,2362.2747595603955
2019-08-03,2362.2675428570983
2019-08-04,2362.2562863076478
2019-08-05,2364.4737314505046
2019-08-06,2368.9261599999554
2019-08-07,2373.382924322299
2019-08-08,2377.84402483512
2019-08-09,2377.827224021932
